,50,100,500,1000,10000,20000,100000
AbChain_instaindex,"[0.38143921 0.21581578 0.30119743 0.32037451 0.33996875 0.29314203 0.32303676 0.29391504 0.34178871 0.35726275 0.2826094  0.36471824 0.37995078 0.3006672  0.29834172 0.329709   0.18202619 0.3794907 0.27847943 0.3160802 ]","[0.42100664 0.40877942 0.40598542 0.40243233 0.4098176  0.4190129 0.43489468 0.41722249 0.38353188 0.37073025 0.33911974 0.39039968 0.36364425 0.35553439 0.38392403 0.38863342 0.40246531 0.3826684 0.40932176 0.39337904]","[0.55634629 0.58448085 0.57460037 0.56573743 0.5741299  0.56255692 0.55085597 0.56064868 0.54535081 0.57069003 0.55528754 0.561892 0.57563036 0.55455658 0.55308695 0.57717392 0.57665863 0.57890068 0.5532742  0.57448203]","[0.62824622 0.62915103 0.6346793  0.62711565 0.61962367 0.61664098 0.62223827 0.62446329 0.63348458 0.6287818  0.63002619 0.62899499 0.63472937 0.6276333  0.63422102 0.63898052 0.62675855 0.6299624 0.61479382 0.61431669]","[0.7524782  0.75365841 0.75237683 0.75306867 0.75310896 0.75271571 0.75348627 0.75296768 0.75253858 0.75338689 0.75348208 0.75371429 0.75137328 0.75421519 0.75285713 0.75234415 0.75184535 0.75439385 0.7516231  0.75351553]","[0.77335936 0.77274853 0.77247608 0.77357262 0.77292112 0.77320027 0.77284829 0.77363876 0.77203537 0.77152954 0.77209113 0.77351359 0.77329585 0.77440092 0.77174577 0.77403491 0.77460205 0.77403285 0.77453415 0.7723614 ]","[0.79936357 0.80012357 0.79929166 0.7996365  0.79947683 0.79956562 0.79952005 0.79941128 0.79963914 0.79936961 0.79944202 0.79968462 0.79956911 0.79983743 0.79962741 0.79973688 0.79963064 0.79993961 0.79944611 0.79961116]"
AbChain_aliphindex,"[0.57307163 0.44878827 0.48476591 0.51065002 0.49202197 0.57661714 0.58433064 0.47907562 0.47743513 0.57243106 0.44456095 0.58073937 0.50990944 0.56485358 0.5694561  0.57159223 0.50048545 0.47919072 0.5026347  0.55568133]","[0.64975413 0.6633719  0.60892201 0.71070487 0.61040761 0.68813207 0.65610955 0.68505292 0.67801416 0.68022476 0.68383352 0.64963723 0.66524398 0.64177827 0.64888963 0.67548328 0.64228253 0.67292855 0.67252091 0.62942215]","[0.84257856 0.84377121 0.8494982  0.85539423 0.84934334 0.83622058 0.85398599 0.85652249 0.84579982 0.84102454 0.83354736 0.83863355 0.84635475 0.83612644 0.84262742 0.8449198  0.84371138 0.8436063 0.84653288 0.8334188 ]","[0.89701901 0.89831888 0.89667206 0.8931445  0.88772355 0.89001762 0.89529226 0.89272811 0.89634005 0.8938827  0.89252554 0.88969299 0.90006064 0.8961601  0.89437779 0.89466315 0.89939606 0.88994467 0.89175593 0.8924297 ]","[0.96616047 0.96588035 0.96666641 0.96568046 0.96597057 0.96630362 0.96624793 0.96584919 0.96653669 0.9660211  0.96599528 0.96576727 0.96607019 0.96567989 0.9659584  0.96563487 0.96601672 0.9659599 0.96610388 0.9667034 ]","[0.97244494 0.97257972 0.97258465 0.97273803 0.97240224 0.97284472 0.97254288 0.9725587  0.97264361 0.97262933 0.97266721 0.97264173 0.97272884 0.97263063 0.97268457 0.97261961 0.97261486 0.97274202 0.97275393 0.9725249 ]","[0.9790902  0.97903934 0.97901771 0.97898404 0.97906179 0.97902515 0.9791119  0.97909535 0.97897995 0.97898859 0.97904218 0.97902604 0.97903616 0.97905547 0.97902146 0.97907935 0.97903207 0.97905807 0.97901948 0.97909203]"
AbChain_tiny_content,"[0.44618655 0.49034386 0.57794546 0.61651219 0.58586808 0.59968972 0.62723008 0.59144797 0.65438265 0.64579963 0.65410625 0.60413586 0.57951799 0.65731621 0.64551318 0.67823496 0.56863496 0.55905006 0.58568081 0.51102501]","[0.74742337 0.72366134 0.73721083 0.74510635 0.70809025 0.75183963 0.72504805 0.74523349 0.69442241 0.77097301 0.74464205 0.75189401 0.74053436 0.75800735 0.73992137 0.74468209 0.74091975 0.7529039 0.76849241 0.71412827]","[0.91379061 0.92042714 0.91362501 0.91544651 0.92318273 0.9250051 0.91569519 0.9196689  0.92117745 0.91169387 0.9148573  0.91576128 0.92013099 0.91241338 0.923916   0.92007149 0.91483296 0.91956816 0.91599176 0.90739421]","[0.942358   0.94551307 0.94553254 0.94634028 0.94611341 0.94513784 0.94589555 0.9450494  0.94313494 0.94514349 0.94600977 0.94523723 0.94711382 0.94369231 0.94473783 0.94636757 0.94482334 0.94460436 0.9436393  0.94505962]","[0.98013919 0.98048659 0.98058559 0.98037221 0.98014396 0.98011497 0.98043752 0.98065724 0.98040294 0.98037549 0.98036187 0.98027029 0.98011968 0.98025512 0.98052824 0.98044115 0.98049422 0.98050266 0.98037285 0.98034529]","[0.98406381 0.98407177 0.9839489  0.9838928  0.98397072 0.98412267 0.98399459 0.98393796 0.98405327 0.98388043 0.98400668 0.98399161 0.98388654 0.98396445 0.98379505 0.98398669 0.98410988 0.98401452 0.98409721 0.98390258]","[0.98777749 0.98781775 0.98777662 0.98781551 0.98777023 0.98778457 0.98777365 0.9877876  0.98775392 0.98779793 0.98779708 0.98779822 0.98775728 0.98781732 0.98778847 0.98781266 0.98777244 0.98779573 0.98779794 0.9877807 ]"
AbChain_small_content,"[0.50593103 0.39298358 0.43801747 0.60171843 0.49793384 0.42742645 0.54548943 0.59994653 0.52551177 0.52614606 0.46209043 0.48768598 0.61132833 0.62564788 0.49434419 0.5066178  0.45371406 0.56615377 0.4223382  0.18950239]","[0.70035798 0.69500016 0.70178966 0.70619182 0.64927402 0.64803213 0.66542983 0.6687112  0.71422019 0.60841729 0.61277935 0.68914916 0.67331588 0.72847146 0.71645956 0.70366377 0.71414092 0.71064123 0.65755127 0.69418663]","[0.88532229 0.89151503 0.87734676 0.89015493 0.89363506 0.88553177 0.89619847 0.8850384  0.89671662 0.8933074  0.88409695 0.89129449 0.88837468 0.88964257 0.89305654 0.88951075 0.89480659 0.87362571 0.87905676 0.8927872 ]","[0.92257674 0.92289004 0.92091411 0.92505465 0.92479407 0.93046798 0.92618138 0.92610009 0.92690134 0.92587838 0.92487197 0.92626914 0.92967378 0.92531023 0.92880673 0.92790659 0.92325732 0.92754346 0.92290638 0.92460324]","[0.97306377 0.97312187 0.97322637 0.97280974 0.97307506 0.97268713 0.97292357 0.97312752 0.97302536 0.97265356 0.97253053 0.97305711 0.97331821 0.97301251 0.97302141 0.97312772 0.97297525 0.97318862 0.97294318 0.97313725]","[0.97753936 0.97759449 0.9775934  0.97766267 0.97742962 0.97752741 0.97763765 0.97757548 0.97777878 0.97759019 0.97772057 0.97761009 0.9773266  0.9775842  0.97739769 0.97767641 0.97761484 0.97770739 0.97751763 0.97760814]","[0.98249845 0.98250587 0.98252648 0.98255661 0.98249749 0.9825055 0.98255648 0.98251371 0.98247616 0.98248853 0.98250253 0.98250435 0.98255271 0.98253484 0.98248591 0.98253359 0.9825247  0.98252685 0.9825057  0.98251343]"
AbChain_aliphatic_content,"[0.45561706 0.3911728  0.35608416 0.39579827 0.32729899 0.47902446 0.44193229 0.31704214 0.35272654 0.43694955 0.32617006 0.46633623 0.30644246 0.48801127 0.45224215 0.39495953 0.36107982 0.32742962 0.35253389 0.44421938]","[0.5530087  0.53947666 0.48407333 0.60816768 0.53195406 0.57704371 0.59806373 0.61080225 0.59027536 0.5503243  0.58198673 0.57410007 0.53254952 0.51717979 0.55052635 0.56230758 0.57058504 0.59188935 0.54930979 0.5714097 ]","[0.81622079 0.82580567 0.80996982 0.81971432 0.81822895 0.80419561 0.82988103 0.83009623 0.80761507 0.80927109 0.80272461 0.82121717 0.81154222 0.80051485 0.81355332 0.8167053  0.81287227 0.81002685 0.81391179 0.80056497]","[0.88181609 0.87843099 0.87861625 0.87222016 0.87179741 0.87730706 0.87284677 0.87953873 0.88135528 0.87194038 0.87047079 0.87460451 0.8820842  0.88057402 0.87693953 0.8767956  0.87336753 0.86943513 0.86940528 0.87296188]","[0.96076252 0.96047354 0.96122279 0.96032092 0.96071619 0.96105121 0.96081428 0.96036503 0.96128745 0.96079565 0.96054597 0.96006301 0.96101184 0.960572   0.96023691 0.96045263 0.96044809 0.96084763 0.9606766  0.96117679]","[0.96791015 0.96796689 0.96803607 0.96813474 0.96785214 0.9678996 0.9681356  0.9681979  0.96814746 0.96806804 0.96807417 0.96817167 0.96816714 0.967965   0.96815582 0.9681813  0.9680474  0.96828438 0.9680058  0.96792829]","[0.9755955  0.97552489 0.97556246 0.97551617 0.975552   0.97553134 0.97563476 0.97556121 0.97552017 0.97546277 0.97554065 0.97549684 0.97553833 0.97552478 0.97547079 0.97558371 0.9755605  0.97555078 0.97555795 0.97559564]"
AbChain_nonpolar_content,"[0.44048705 0.38368117 0.25412615 0.28104455 0.31426925 0.19412162 0.35480291 0.34699946 0.32801564 0.38019391 0.28034204 0.28197316 0.44572195 0.36839855 0.39502616 0.18659679 0.34261408 0.40996024 0.32526107 0.33307751]","[0.53593261 0.56774583 0.51278051 0.53350344 0.47767846 0.55855028 0.51906939 0.57531117 0.5766287  0.55339113 0.49663217 0.58162044 0.45561967 0.50298782 0.52300237 0.58235356 0.56304461 0.54342263 0.46906887 0.58610795]","[0.85475328 0.87411276 0.86235844 0.86644567 0.86795956 0.86439235 0.85540821 0.86240985 0.86441408 0.86365542 0.86127776 0.86543937 0.86776938 0.86431429 0.8624871  0.84997107 0.8579806  0.86277969 0.85649022 0.87539881]","[0.91702424 0.9168984  0.91573421 0.9102841  0.92052689 0.91718951 0.9121881  0.91730496 0.91903136 0.91867829 0.91559045 0.91501728 0.91710189 0.91152831 0.91397712 0.9159426  0.91358631 0.91771226 0.91437665 0.91139003]","[0.97099113 0.97100457 0.97141266 0.97073861 0.97151078 0.97136317 0.97113675 0.9712874  0.97129971 0.97140157 0.97122971 0.9713341 0.97184084 0.97141596 0.97161502 0.97071583 0.97101366 0.97145474 0.97122627 0.97148156]","[0.97615131 0.97630232 0.97618624 0.97619557 0.97606262 0.97621173 0.97619667 0.97635242 0.97650487 0.97624047 0.97621232 0.97609883 0.97637626 0.97639303 0.97626525 0.97609513 0.97637616 0.97615406 0.9761492  0.97610689]","[0.9816238  0.98155702 0.98162756 0.98156402 0.98157391 0.98163919 0.98159986 0.9816454  0.98160436 0.98160454 0.98159434 0.9815645 0.98160065 0.98162903 0.98161601 0.98160517 0.9815784  0.98155256 0.98159902 0.9816322 ]"
AbChain_polar_content,"[0.44048705 0.38368117 0.25412615 0.28104455 0.31426925 0.19412162 0.35480291 0.34699946 0.32801564 0.38019391 0.28034204 0.28197316 0.44572195 0.36839855 0.39502616 0.18659679 0.34261408 0.40996024 0.32526107 0.33307751]","[0.53593261 0.56774583 0.51278051 0.53350344 0.47767846 0.55855028 0.51906939 0.57531117 0.5766287  0.55339113 0.49663217 0.58162044 0.45561967 0.50298782 0.52300237 0.58235356 0.56304461 0.54342263 0.46906887 0.58610795]","[0.85475328 0.87411276 0.86235844 0.86644567 0.86795956 0.86439235 0.85540821 0.86240985 0.86441408 0.86365542 0.86127776 0.86543937 0.86776938 0.86431429 0.8624871  0.84997107 0.8579806  0.86277969 0.85649022 0.87539881]","[0.91702424 0.9168984  0.91573421 0.9102841  0.92052689 0.91718951 0.9121881  0.91730496 0.91903136 0.91867829 0.91559045 0.91501728 0.91710189 0.91152831 0.91397712 0.9159426  0.91358631 0.91771226 0.91437665 0.91139003]","[0.97099113 0.97100457 0.97141266 0.97073861 0.97151078 0.97136317 0.97113675 0.9712874  0.97129971 0.97140157 0.97122971 0.9713341 0.97184084 0.97141596 0.97161502 0.97071583 0.97101366 0.97145474 0.97122627 0.97148156]","[0.97615131 0.97630232 0.97618624 0.97619557 0.97606262 0.97621173 0.97619667 0.97635242 0.97650487 0.97624047 0.97621232 0.97609883 0.97637626 0.97639303 0.97626525 0.97609513 0.97637616 0.97615406 0.9761492  0.97610689]","[0.9816238  0.98155702 0.98162756 0.98156402 0.98157391 0.98163919 0.98159986 0.9816454  0.98160436 0.98160454 0.98159434 0.9815645 0.98160065 0.98162903 0.98161601 0.98160517 0.9815784  0.98155256 0.98159902 0.9816322 ]"
AbChain_basic_content,"[0.56764299 0.57269721 0.53766775 0.64932584 0.5533929  0.49023653 0.55938132 0.63035058 0.58333271 0.56807637 0.57657755 0.57089123 0.65198832 0.618125   0.57684559 0.57678672 0.60756615 0.4657748 0.5863736  0.62815061]","[0.70970921 0.71218913 0.70614088 0.7284973  0.75996945 0.73118201 0.71976225 0.73071159 0.71147476 0.69552904 0.6877948  0.7034151 0.68539584 0.73371236 0.73947136 0.73367009 0.7055903  0.70139172 0.69326233 0.69763266]","[0.88904573 0.89356799 0.90980298 0.8995506  0.9028724  0.90011044 0.90423859 0.90401596 0.89586757 0.90663662 0.91093892 0.89145029 0.91181311 0.90121494 0.9006824  0.9053887  0.89403057 0.90181207 0.90470509 0.90246576]","[0.93815192 0.93907851 0.93162257 0.93574882 0.93505894 0.93820149 0.93604892 0.93479017 0.93591429 0.93806122 0.93555184 0.93247753 0.935079   0.93606953 0.93840587 0.93370701 0.93548062 0.93552808 0.93852345 0.93701651]","[0.97759116 0.97765044 0.97764552 0.97762228 0.97786283 0.97765886 0.97787123 0.97791676 0.97762039 0.97780603 0.97776336 0.97794922 0.97787637 0.97810419 0.9782238  0.97777295 0.97791106 0.97793404 0.97777747 0.97783494]","[0.98153448 0.98160816 0.98169731 0.98160989 0.98163371 0.98173055 0.98173576 0.98176131 0.98162082 0.98166367 0.98166582 0.9816413 0.98166984 0.98174702 0.98159722 0.98156053 0.98161267 0.9815855 0.98167034 0.98142748]","[0.98570058 0.9857089  0.98572788 0.98572784 0.98567057 0.98575129 0.98574013 0.98572788 0.9856977  0.98571192 0.98575461 0.98571087 0.98573089 0.98571482 0.98571808 0.98572401 0.98570795 0.9857304 0.98572572 0.9856932 ]"
AbChain_acidic_content,"[0.61541936 0.70313549 0.59964104 0.64700033 0.70136852 0.61231087 0.67519984 0.59508247 0.62792531 0.65458922 0.62753509 0.67511641 0.59038416 0.6366748  0.60824029 0.7006277  0.65526887 0.64414811 0.59384036 0.6323107 ]","[0.8169162  0.78445789 0.75888641 0.77163336 0.70090461 0.77695277 0.82051362 0.77359264 0.7987769  0.80271013 0.78875836 0.74688983 0.73839362 0.76501457 0.77229717 0.82768166 0.79625536 0.77963324 0.74985843 0.78549852]","[0.93312775 0.92883752 0.92954784 0.92670564 0.9360913  0.92108902 0.92679157 0.93085731 0.92531605 0.92351292 0.92760799 0.92531782 0.9265671  0.92371104 0.93224641 0.92219294 0.92538453 0.92627218 0.93163059 0.93554707]","[0.95588725 0.9573167  0.95727393 0.95695582 0.95506449 0.95566808 0.95434787 0.95617685 0.95789146 0.95499873 0.95779549 0.95781798 0.95701827 0.95372123 0.95391226 0.95645274 0.95221288 0.95194151 0.95349619 0.95398543]","[0.98474406 0.98468797 0.98466315 0.98455074 0.98487977 0.98466923 0.98470372 0.98458584 0.98488168 0.98487635 0.98483827 0.98487916 0.98481488 0.98463521 0.98474528 0.98470298 0.98476348 0.98504665 0.98483875 0.98480382]","[0.98731689 0.98728696 0.98735348 0.98739674 0.98739461 0.98742921 0.9873135  0.98727205 0.98734319 0.987342   0.98731213 0.98721075 0.98733198 0.98736683 0.98725581 0.98730374 0.98739166 0.98734478 0.98731119 0.98731485]","[0.99006582 0.99008983 0.99005579 0.99006746 0.99007302 0.99007983 0.99005938 0.99007962 0.99008787 0.99005633 0.99007496 0.99007097 0.99007421 0.9900901  0.99008863 0.99005571 0.99006397 0.99009353 0.99007175 0.99007636]"
AbStruc_loops,"[0.         0.06583754 0.1332042  0.07861338 0.         0.15111887 0.09062216 0.10109143 0.03575914 0.11411924 0.12994044 0. 0.14294164 0.         0.08929528 0.08787896 0.11999643 0.12545517 0.09130119 0.0427406 ]","[0.13328664 0.14938752 0.11993948 0.06647411 0.12710901 0.13364498 0.15040577 0.18063984 0.20494376 0.14117792 0.08417811 0.12845349 0.14864057 0.08626788 0.1158715  0.1286304  0.11343985 0.02914173 0.11461426 0.10562474]","[0.22917975 0.22583075 0.23739448 0.24495671 0.25993251 0.23420683 0.208998   0.24243361 0.26280363 0.2499092  0.24619081 0.2514882 0.23634994 0.24413311 0.24575394 0.24199763 0.24119491 0.24672737 0.23341643 0.24055651]","[0.29525836 0.27148133 0.27978574 0.27970511 0.29637402 0.28019273 0.28485903 0.29604373 0.27776572 0.29234994 0.29458627 0.30199112 0.2998654  0.28705876 0.2789386  0.29745776 0.28244243 0.27520798 0.28062573 0.28225842]","[0.39523005 0.39159597 0.39267886 0.39596526 0.39432762 0.3928322 0.3905221  0.39241343 0.39188607 0.39307174 0.39291918 0.39424469 0.39353127 0.39407141 0.39290843 0.39270821 0.39598231 0.39579766 0.39488212 0.39406885]","[0.41367633 0.4119114  0.41213841 0.41118464 0.41253643 0.41287863 0.41258302 0.4117641  0.41077328 0.41258095 0.41463213 0.41066361 0.41306904 0.41345871 0.41169682 0.41203955 0.41106001 0.4114591 0.41496182 0.41157516]","[0.43837951 0.43828137 0.43867423 0.43775764 0.43782928 0.4380749 0.43846026 0.4375164  0.43848574 0.43779077 0.43802798 0.43819869 0.43797321 0.43798973 0.43909275 0.43863179 0.43835583 0.43807676 0.43771113 0.43838261]"
AbStruc_amide_amide_interactions,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
AbStruc_amide_ring_interactions,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
AbStruc_beta_bridges,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.0310117  0.00776907 0. 0.         0.         0.         0.         0.0186428  0.01864965 0.         0.         0.         0.         0.01173292 0.01580759 0.00780511 0.        ]","[0.04676225 0.03884075 0.03599807 0.05368437 0.02432821 0.00798063 0.04853913 0.05256419 0.04537462 0.02381033 0.04541497 0.04859355 0.06612423 0.03556977 0.04702276 0.03513407 0.05247861 0.03485977 0.04006775 0.04219909]","[0.1471418  0.14387115 0.14925611 0.14730233 0.14997358 0.15376139 0.14855859 0.14765128 0.14479719 0.14973834 0.14421194 0.14830539 0.14941071 0.14710372 0.14908976 0.14430985 0.14500823 0.14603403 0.14729953 0.14648141]","[0.17028368 0.16866819 0.17097112 0.16928549 0.16962045 0.1700203 0.1681841  0.16966943 0.17020507 0.16903508 0.1692592  0.16979102 0.16869356 0.17065452 0.1678221  0.1700208  0.16933967 0.16840632 0.16948868 0.16774506]","[0.19867735 0.198574   0.1987045  0.19869409 0.19957166 0.19873915 0.19983422 0.19967662 0.19864805 0.19848952 0.19824389 0.19897214 0.19888208 0.19833466 0.19845392 0.19840968 0.19844234 0.19956527 0.198966   0.19810308]"
AbStruc_carbon_pi_interactions,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
AbStruc_cation_pi_interactions,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
AbStruc_donor_pi_interactions,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
AbStruc_beta_strands,"[0.40904256 0.25371468 0.39308915 0.34800458 0.34690396 0.42321338 0.32552695 0.37544774 0.22060827 0.37541205 0.41126305 0.26878096 0.35653483 0.40373084 0.26266103 0.41762179 0.34693117 0.42799713 0.41535893 0.22784497]","[0.3114132  0.46371151 0.43822442 0.44142025 0.4106265  0.40470468 0.41175826 0.42438157 0.47865698 0.39430087 0.4332111  0.38228544 0.40751578 0.4214678  0.39260287 0.40780296 0.43631617 0.42783414 0.37537402 0.37890188]","[0.50533405 0.52497588 0.51094914 0.51929692 0.51391937 0.51915471 0.49793661 0.51432358 0.52988566 0.51792972 0.524774   0.53340955 0.53053211 0.50981822 0.52343147 0.5141138  0.51472112 0.52734869 0.51557685 0.52147394]","[0.55248621 0.5420232  0.54353483 0.54425623 0.55672235 0.53123969 0.53689283 0.55372621 0.54229587 0.55104964 0.54572316 0.55110157 0.55353118 0.55221458 0.53708408 0.54392007 0.5522133  0.54242709 0.5410707  0.54515141]","[0.60938855 0.60747297 0.6068869  0.60934805 0.61173274 0.61043238 0.60733312 0.60942228 0.60903104 0.60847507 0.60844873 0.60995865 0.6100845  0.60974358 0.60960351 0.60709981 0.61089817 0.61045362 0.61040162 0.60977342]","[0.62192125 0.6210728  0.62121404 0.62145581 0.62036069 0.62198204 0.62071662 0.62039844 0.62037752 0.62184921 0.62228612 0.61960835 0.62082626 0.62287185 0.62104804 0.620393   0.61999021 0.61967507 0.62288424 0.62026817]","[0.63694126 0.63699568 0.63695784 0.63626154 0.63678428 0.636759 0.63669979 0.63650986 0.63699266 0.63640834 0.63703958 0.63711105 0.63664774 0.63671331 0.6373806  0.63715046 0.63685004 0.63652114 0.63663013 0.63688005]"
AbStruc_threeten_helices,"[0.0453895  0.07011661 0.11996347 0.06108123 0.02538722 0.08507954 0.         0.01858331 0.         0.12397632 0.00044608 0.0931582 0.07598572 0.         0.01363736 0.02362904 0.01122403 0.00560636 0.05954018 0.02243358]","[0.1194355  0.105835   0.09532301 0.04175323 0.11884502 0.09271347 0.05131178 0.06932236 0.16285934 0.10711119 0.1250797  0.12208551 0.12146302 0.09028003 0.         0.10882177 0.04562669 0.09024089 0.08511724 0.12265651]","[0.23178364 0.21019634 0.21730329 0.22998791 0.22442752 0.19638744 0.21102706 0.19283765 0.18173002 0.21502906 0.19245359 0.21616564 0.2210727  0.20126364 0.2270684  0.21512888 0.21410208 0.22153349 0.21060873 0.22798462]","[0.27113031 0.24970293 0.25313349 0.28171908 0.26842955 0.25639375 0.2555325  0.2968348  0.25287503 0.27487885 0.26311301 0.27020469 0.27729596 0.26658419 0.25968788 0.26744886 0.26953316 0.26471053 0.26881327 0.27476441]","[0.39119298 0.3879047  0.38776469 0.38694677 0.38945508 0.38537271 0.38304685 0.3889688  0.3858817  0.38986307 0.38989267 0.38659237 0.38935802 0.38491948 0.38662189 0.38704491 0.38836962 0.39074456 0.38847212 0.39049274]","[0.41141636 0.41207803 0.41050201 0.41019371 0.41258244 0.4108082 0.41064414 0.40909445 0.41044262 0.41250174 0.41075665 0.41272963 0.41209659 0.4110228  0.41221871 0.41134728 0.4119263  0.41067591 0.4120658  0.40988834]","[0.44328105 0.44290315 0.44374037 0.44321048 0.4430702  0.44351462 0.4438173  0.44297902 0.44339848 0.44309557 0.4432505  0.44364413 0.44339779 0.44365711 0.44309605 0.44305711 0.44276969 0.44345332 0.4427927  0.44262613]"
